note_id,title,desc,type,nickname,liked,collected,comment,shared,images,tags,keyword,publish_ts,note_url,publish_dt,interact,title_len,collect_like,hour,weekday
6a4f82f90000000006030cc4,当我试图驯服ai做短剧（3）,#驯服AI[话题]# #ai猫咪[话题]# #ai短剧[话题]#,视频,打***🐱,0,9278,1084,9491,0,,AI,1783595769000,https://www.xiaohongshu.com/explore/6a4f82f90000000006030cc4?xsec_token=ABBnsFAFWa9_EnnKKSFqYzVKirv8NW803eVo6JW2yP4_o=&xsec_source=pc_search,2026-07-09 11:16:09,19853,14,,11,3
69de1c80000000002102db05,当你在一百万人的图书馆,当阿丸在一百万人的图书馆会发生什么？#AI动画[话题]# #像素风[话题]# #像素画[话题]# #生成艺术[话题]#,视频,阿***居,0,1573,393,1676,0,,AI,1776163968000,https://www.xiaohongshu.com/explore/69de1c80000000002102db05?xsec_token=ABX5UfoX-ifDcW82d86wjtPf31i-hsvxzilvG2Gwu1EEU=&xsec_source=pc_search,2026-04-14 10:52:48,3642,11,,10,1
6983879d000000002202eb6a,建议大家都去死磕这几位大神,"① Jeff su
视频节奏快、内容直给，特别适合普通人想用AI做点实际事儿的，比较入门和实用；比如他用8分钟说清楚怎么写好prompt、怎么用AI agent，讲得清楚又好跟，新手照做就能上手。
	
② Andrej Karpathy
大神本神，AI界的传奇。他那堂3小时的LLM课在圈里都刷屏了。内容干货超多，却又能把大语言模型的原理、训练和应用讲得通俗易懂，就算你没技术背景也完全能听明白！
	
③ Tina Huang
之前是Meta的数据工程师。我最开始是被她那个“44分钟搞懂AI agent”的视频吸引的。她特别擅长消化复杂的资料或课程，提炼出重点，再用自己的话简单明了地讲出来，完全可以当作入门第一课来听。
	
④ Dave Ebbelaar
Datalumina的创始人。他的视频主要聚焦两块：一是能实际用起来的AI系统工程教程，二是AI自由职业的发展建议。内容都很实战，全是经验之谈。
	
⑤ IBM Technology
IBM官方频道，讲AI、自动化、DevOps、量子计算这些前沿技术。背靠IBM资源，每期都能请到对应领域的专家来讲，所以内容覆盖面也广，像个小型的AI知识库。
	
⑥ Google Cloud Tech
Google在AI实用小工具这块挺会玩的，之前有出圈的NotebookLM、Learnabout，现在又有Little Language Lessons。他们的官方YouTube频道内容更专注垂直，如果说IBM的频道更“广”，那Google的就更“深”。
	
推荐国内AlAgent老师
	
李继刚：主打Prompt Engineering(提示词工程)教学，体系完整，从结构化提示词到Lisp伪代码都会带练，他的""结构化Prompt""适合做角色扮演，知识卡片，还会提供提示词模板，实用性拉满
	
宝玉xp：技术与翻译双修，常通过长文拆解 OpenAl最新论文的技术原理，适合想深耕大模型底层逻辑的人
	
通往AGI之路：内容细致，会拆分知识库搭建，扣子(Coze)工作流等功能讲解，还有从0开始学AI的文档合集，是AI小白的入门优选。
	
#Al智能体[话题]#  #人工智能应用[话题]#  #大模型应用[话题]#
#人工智能开发[话题]#",图文,招***g,0,0,179,2304,0,,AI,1770253237000,https://www.xiaohongshu.com/explore/6983879d000000002202eb6a?xsec_token=AB11O-wj2flDDx4u98AJqcM2yDUNEGnHoEENC92olypk0=&xsec_source=pc_search,2026-02-05 01:00:37,2483,13,,1,3
69f0bb7100000000350316e9,AI的七层关系，你搞懂了几层？,"串联解释：
你说出提示词，交给Agent 大管家；
所有沟通内容拆成Token记录，全部存入上下文备忘录；
Harness 家规全程约束管家行为，不乱干活；
管家通过MCP 联络中枢，外接各类资源；
再调用自身的Skills 技能，一步步自主完成你交代的所有任务
	
1.Token = 文字最小颗粒（文字米粒）
所有对话、指令、资料，都会被拆成一粒粒「文字米粒」。不管是人说话还是 AI 回复，都靠一粒粒 Token 承载，也是计量工作量的最小单位。
	
2.提示词 = 你的口头吩咐
就是你给管家下达的直接命令，比如 “帮我整理资料、查数据、写总结”，是一切工作的起点。
	
3.上下文 = 聊天全程备忘录
你和管家从头到尾的所有对话记录，管家靠着这份备忘录记住前因后果，不会忘事、不会聊跑偏；备忘录页数有限，满了就会忘记前面内容。
	
4.Agent = 全能自主大管家
核心主角，主动思考、自主办事。不会只死板听一句话，会拆解你的吩咐、自己规划步骤、调动工具完成整套任务。
	
5.Harness = 家规 + 管理制度
用来约束、管控大管家。划定能干啥、不能干啥、权限多大、做事流程规矩，防止乱操作、越界出错，起到风控和规范作用。
	
6.MCP = 内部联络总交换机
相当于办公室总通讯枢纽，打通各个工具、部门、资料库。让管家能顺畅对接各类外部资源，实现跨工具、跨模块联动配合。
	
7.Skills = 管家的各项手艺 / 技能包
比如查资料、做表格、翻译、计算、联网搜索。是管家的一身本事，没有对应技能，再聪明也干不了专属活。
	
#Claude[话题]# #claudecode[话题]# #vibecoding[话题]# #人工智能[话题]# #大模型[话题]# #AI工具[话题]#",图文,不***I,7238,0,173,1917,0,,AI,1777384305000,https://www.xiaohongshu.com/explore/69f0bb7100000000350316e9?xsec_token=AB_fSeOKCSycNnD1np21ulzgAPv2_3tnLDzd7_UlozJZ0=&xsec_source=pc_search,2026-04-28 13:51:45,9328,15,0.0,13,1
67ee3a94000000001d009685,宫崎骏真的痛恨AI吗？,前不久，Open AI的GPT-4o模型的发布，其强大的AI图像生成功能，让万物都可以吉卜力化。多数人看热闹，也有人对此反感，甚至还出现伪造的吉卜力工作室律师函。有人说宫崎骏对AI相当愤怒，认为这是对生命的侮辱，真实情况是这样的吗？本支视频就带大家探究一番。﻿#吉卜力[话题]#﻿ ﻿#宫崎骏[话题]#﻿ ﻿#吉卜力风[话题]#﻿ ﻿#AI生成[话题]#﻿ ﻿#AI[话题]#﻿ ﻿#人工智能[话题]#﻿ ﻿#OpenAI[话题]#﻿,视频,电***么,7084,1439,272,285,0,,AI,1743676563000,https://www.xiaohongshu.com/explore/67ee3a94000000001d009685?xsec_token=AB4JD07OWPccYNmN-uijaB6csJoz3MGMPhWzVswDKTmXc=&xsec_source=pc_search,2025-04-03 10:36:03,9080,11,0.2031338226990401,10,3
67d4f010000000000e004cd8,凭啥不让我问？,"#科技[话题]# #人工智能[话题]# #ai[话题]# #大模型[话题]# #AI大爆炸[话题]# #AIGC[话题]#
	
凭什么？？[哭惹R][哭惹R]",图文,A***炸,6402,1917,2238,4792,0,,AI,1742008336000,https://www.xiaohongshu.com/explore/67d4f010000000000e004cd8?xsec_token=ABC-ggOObH86n3YjQ5IyF3YEw3VUUAPMdtN54CJavq5bM=&xsec_source=pc_search,2025-03-15 03:12:16,15349,7,0.2994376757263355,3,5
6a7eeb61000000003303563b,快把你朋友带走,#剧情[话题]# #AI[话题]# #校园[话题]# #日剧[话题]#,视频,偏***n,6585,2104,209,289,0,,AI,1786702689000,https://www.xiaohongshu.com/explore/6a7eeb61000000003303563b?xsec_token=ABYWgpvZC_j_qaQm0nuLfBZesouG5vCDTKe9_yLbWjorA=&xsec_source=pc_search,2026-08-14 10:18:09,9187,7,0.31951404707668946,10,4
6a2a78e600000000060205ea,一网友爆料称，老婆今晚回来，说机构又裁了三个老师。我靠，AI杀到教培了，她教了十年英语，现在不如一个App。我算了算，我俩一个在IT被AI降薪，一个在教培被AI裁员。绝了，这个家是AI的重点打击对象。行吧，以前她嫌我加班多，现在我俩都有时间在家待着了。笑死，失业让我们实现了家庭团圆。儿子问我，爸爸你们是不是都被开除了?我愣了一下，说没有，爸爸还在上班。其实我心里想的是，快了。瞎折腾，她在刷招聘软件，我在刷行测题库，两个人坐在沙发上，各刷各的。手机的光照在脸上，像两个被时代遗忘的屏幕。瞎，至少我们还有电。凉,一网友爆料称，老婆今晚回来，说机构又裁了三个老师。我靠，AI杀到教培了，她教了十年英语，现在不如一个App。我算了算，我俩一个在IT被AI降薪，一个在教培被AI裁员。绝了，这个家是AI的重点打击对象。行吧，以前她嫌我加班多，现在我俩都有时间在家待着了。笑死，失业让我们实现了家庭团圆。儿子问我，爸爸你们是不是都被开除了?我愣了一下，说没有，爸爸还在上班。其实我心里想的是，快了。瞎折腾，她在刷招聘软件，我在刷行测题库，两个人坐在沙发上，各刷各的。手机的光照在脸上，像两个被时代遗忘的屏幕。瞎，至少我们还有电。凉透，如果AI哪天能替人焦虑就好了，我第一个报名。#大厂[话题]#,图文,大***哥,5840,5316,296,616,0,,AI,1781168358000,https://www.xiaohongshu.com/explore/6a2a78e600000000060205ea?xsec_token=AB-IkL9t1OaDpvhBbF5BYeqaVxdyj8m3ud-M2BM25g8Xk=&xsec_source=pc_search,2026-06-11 08:59:18,12068,255,0.9102739726027397,8,3
69bc8940000000001d0186d3,整个AI圈都在恐吓普通人,"今天起得早，五点就醒了。
看了篇文章叫做《整个社会都在恐吓学生》，
我就想到难道AI领域各种惊悚的标题，
不也是在恐吓普通人吗？
	
所以就模仿写了一篇文章，
从我的认知出发，
写给正在焦虑的大家。
这篇严格意义上是篇我的仿写，
就不标注原创了。
#AI工具[话题]# #人工智能未来[话题]# #大模型[话题]# #ai焦虑[话题]# #驯服AI[话题]# #科技是把双刃剑[话题]# #ai[话题]# #科技的力量[话题]# #标题党[话题]#",图文,是***啊,5566,1493,551,409,0,,AI,1773963585000,https://www.xiaohongshu.com/explore/69bc8940000000001d0186d3?xsec_token=ABTO3WG3McWUr12Q4XoiaNlQ8IVkbfc7O3l2XxW00ErWE=&xsec_source=pc_search,2026-03-19 23:39:45,8019,12,0.2682357168523176,23,3
67974254000000002903a094,Deepseek太牛了，一己之力搅动全球,"我承认这波是我太年轻了[哭惹R]
	
我原本以为DeepSeek他只是一个新模型，最多让我们行业内的人炸一下[暗中观察R]
	
没想到直接上了各大媒体头版头条，微博热搜前十里面有三个都是DeepSeek[赞R]
	
最抽象的是英伟达和很多芯片巨头都被Deepseek影响到了
	
而做光刻机阿斯麦也被影响了，这个我想不到的[汗颜R]
	
说真的，这波我真没想到_(:з」∠)_
后面会有一篇分析Deepseek的帖子，晚点发出来
	
欢迎关注我，关注最新最专业最有思考的AI资讯[得意R]
#ai[话题]# #人工智能[话题]# #AI[话题]# #大模型[话题]#  #互联网大厂[话题]# #互联网[话题]# #科技[话题]# #半导体[话题]# #deepseek[话题]##英伟达[话题]#",图文,M***I,5167,1223,620,2274,0,,AI,1737966164000,https://www.xiaohongshu.com/explore/67974254000000002903a094?xsec_token=ABzVyEnIwTW5K0gDLPTPGKEVrzAvTsCMlyYOl1pybMSyQ=&xsec_source=pc_search,2025-01-27 08:22:44,9284,20,0.2366944068124637,8,0
